,Date,Open,High,Low,Close,Adj Close,Volume,rsi,macd,macd_signal,bb_bbu,bb_bbl,obv
204,2022-07-24,1.2000000424450263e-05,1.2000000424450263e-05,1.2000000424450263e-05,1.2000000424450263e-05,1.2000000424450263e-05,288641414,62.02547922032139,4.3314819916947283e-07,3.3269475666460946e-07,1.2735544465358013e-05,9.664455841885305e-06,0.0
205,2022-07-25,1.2000000424450263e-05,1.2000000424450263e-05,1.1000000085914508e-05,1.1000000085914508e-05,1.1000000085914508e-05,379432978,48.08847183027296,3.5183746453004793e-07,3.365232982376972e-07,1.2682701454391703e-05,9.81729888670519e-06,-9607673007.0
206,2022-07-26,1.1000000085914508e-05,1.1000000085914508e-05,9.999999747378752e-06,1.1000000085914508e-05,1.1000000085914508e-05,342257533,48.08847183027296,2.841229292679521e-07,3.260432244437482e-07,1.2613894002938747e-05,9.986106372011721e-06,0.0
207,2022-07-27,1.1000000085914508e-05,1.1000000085914508e-05,1.1000000085914508e-05,1.1000000085914508e-05,1.1000000085914508e-05,497164432,48.088471830272944,2.278323625779916e-07,3.064010520705969e-07,1.2613894002938747e-05,9.986106372011721e-06,0.0
208,2022-07-28,1.1000000085914508e-05,1.2000000424450263e-05,1.1000000085914508e-05,1.2000000424450263e-05,1.2000000424450263e-05,675002934,59.464465792594126,2.6090578567257257e-07,2.9730199879099207e-07,1.2691641445095327e-05,1.0008358963708716e-05,-8932670073.0
209,2022-07-29,1.2000000424450263e-05,1.2000000424450263e-05,1.1000000085914508e-05,1.2000000424450263e-05,1.2000000424450263e-05,576891148,59.464465792594126,2.838447263638705e-07,2.946105443055678e-07,1.2691641445095327e-05,1.0008358963708716e-05,0.0
210,2022-07-30,1.2000000424450263e-05,1.2999999853491317e-05,1.2000000424450263e-05,1.2000000424450263e-05,1.2000000424450263e-05,683137653,59.464465792594126,2.985821330950374e-07,2.9540486206346174e-07,1.2761114776872094e-05,1.0038885665785527e-05,0.0
211,2022-07-31,1.2000000424450263e-05,1.2000000424450263e-05,1.2000000424450263e-05,1.2000000424450263e-05,1.2000000424450263e-05,421765443,59.464465792594126,3.067258889349777e-07,2.9766906743776494e-07,1.2713954623483036e-05,1.0286045886881735e-05,0.0
212,2022-08-01,1.2000000424450263e-05,1.2999999853491317e-05,1.2000000424450263e-05,1.2000000424450263e-05,1.2000000424450263e-05,616917563,59.464465792594126,3.09610872650263e-07,3.0005742848026455e-07,1.2605250009248964e-05,1.0594750568822957e-05,0.0
213,2022-08-02,1.2000000424450263e-05,1.2000000424450263e-05,1.2000000424450263e-05,1.2000000424450263e-05,1.2000000424450263e-05,395081060,59.464465792594126,3.083428584543412e-07,3.017145144750799e-07,1.2628721607154058e-05,1.0671279004771441e-05,0.0
214,2022-08-03,1.2000000424450263e-05,1.2000000424450263e-05,1.2000000424450263e-05,1.2000000424450263e-05,1.2000000424450263e-05,317439052,59.464465792594126,3.038355212760268e-07,3.0213871583526933e-07,1.2640325333186403e-05,1.075967531259267e-05,0.0
215,2022-08-04,1.2000000424450263e-05,1.2000000424450263e-05,1.2000000424450263e-05,1.2000000424450263e-05,1.2000000424450263e-05,301914202,59.464465792594126,2.968416186568345e-07,3.010792963995824e-07,1.2638523957251963e-05,1.0861476722380686e-05,0.0
216,2022-08-05,1.2000000424450263e-05,1.2000000424450263e-05,1.2000000424450263e-05,1.2000000424450263e-05,1.2000000424450263e-05,337423841,59.46446579259412,2.8797925482878527e-07,2.9845928808542295e-07,1.2620783316275616e-05,1.0979217397210608e-05,0.0
217,2022-08-06,1.2000000424450263e-05,1.2000000424450263e-05,1.2000000424450263e-05,1.2000000424450263e-05,1.2000000424450263e-05,278723005,59.46446579259412,2.7775399249396175e-07,2.943182289671307e-07,1.2582695718778542e-05,1.1117305028561256e-05,0.0
